ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
8003,36,2022-11-06,16:01,Coritiba,Flamengo,4-1-4-1,4-3-3,A. Ferreira,D. Silvestre Júnior,Coritiba, Couto Pereira,1,0,PR,RJ
8004,36,2022-11-06,18:30,Cuiaba,Palmeiras,3-4-1-2,4-2-3-1,A. Cardoso de Oliveira,A. Moreira Ferreira,-,Arena Pantanal,1,1,MT,SP
8005,36,2022-11-07,20:01,Atletico-MG,Botafogo-RJ,4-2-3-1,3-4-2-1,A. Stival,L. Castro,Botafogo-RJ, Mineirão,0,2,MG,RJ
8006,37,2022-11-08,21:33,Sao Paulo,Internacional,3-4-1-2,4-2-3-1,R. Ceni,L. Venker de Menezes,Internacional, Morumbi,0,1,SP,RS
8008,37,2022-11-09,19:00,Fluminense,Goias,4-2-2-2,4-4-2,F. Diniz Silva,J. Ribeiro Ventura,Fluminense, Maracanã,3,0,RJ,GO
8007,37,2022-11-09,19:02,Coritiba,Corinthians,4-1-4-1,4-1-4-1,A. Ferreira,V. de Oliveira Lopes Pereira,-, Couto Pereira,2,2,PR,SP
8009,37,2022-11-09,19:02,Avai,Ceara,4-5-1,4-2-3-1,F. Bento da Cunha,J. Antonello,Avai,  Ressacada,2,0,SC,CE
8010,37,2022-11-09,20:29,Fortaleza,Bragantino,4-2-3-1,4-2-3-1,J. Vojvoda,M. Nogueira Barbieri,Fortaleza,Arena Castelão,6,0,CE,SP
8013,37,2022-11-09,21:28,Atletico-GO,Athletico-PR,4-2-3-1,4-2-3-1,E. do Nascimento Souza,L. Scolari,-,Estádio Antônio Accioly,1,1,GO,PR
8011,37,2022-11-09,21:29,Juventude,Flamengo,4-2-3-1,4-3-3,C. Juarez Roth,D. Silvestre Júnior,-, Alfredo Jaconi,2,2,RS,RJ
8012,37,2022-11-09,21:30,Palmeiras,America-MG,4-2-3-1,4-1-4-1,A. Moreira Ferreira,V. Carmo Mancini,Palmeiras,Allianz Parque,2,1,SP,MG
