partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
8963,18,Vitoria,15,6,42,269,83,12,4,0,3,6
8964,18,Sao Paulo,8,4,53,353,92,18,2,0,3,5
8964,18,Internacional,9,4,47,418,89,23,2,0,0,4
8965,18,Juventude,18,10,51,371,91,15,3,0,3,8
8965,18,Santos,18,8,49,345,93,18,3,0,0,3
8966,19,Bragantino,17,8,49,414,86,7,1,0,1,8
8966,19,Internacional,13,5,51,442,90,8,2,0,3,6
8968,19,Mirassol,10,5,45,364,89,12,1,0,1,10
8968,19,Flamengo,25,9,55,340,91,22,1,0,0,11
8967,19,Sao Paulo,23,4,57,486,91,16,3,0,0,4
8967,19,Vitoria,6,1,43,303,88,9,3,0,2,3
8969,19,Botafogo-RJ,20,12,64,349,91,12,0,0,1,8
8969,19,Fortaleza,8,1,36,279,88,7,2,1,1,2
8970,19,Fluminense,9,5,41,235,86,12,2,1,1,2
8970,19,Bahia,16,5,59,387,95,16,2,0,0,8
8971,19,Palmeiras,8,5,55,460,91,7,1,0,5,3
8971,19,Ceara,7,4,45,297,81,11,3,0,3,3
8972,19,Atletico-MG,18,4,44,321,89,9,1,0,2,10
8972,19,Vasco,18,4,56,427,89,10,3,0,0,6
8973,19,Santos,8,2,44,265,86,11,3,0,3,3
8973,19,Cruzeiro,17,4,56,335,86,17,5,0,2,15
8974,19,Sport,12,4,41,281,85,19,0,0,2,2
8974,19,Gremio,12,6,59,440,87,10,2,0,1,3
8975,19,Corinthians,15,5,58,523,92,10,5,1,1,2
8975,19,Juventude,10,4,42,268,85,20,6,0,1,3
8976,20,Fluminense,6,3,44,324,89,10,2,0,0,2
8976,20,Fortaleza,11,5,56,484,90,17,4,0,1,6
8977,20,Ceara,9,4,41,299,89,19,3,0,2,3
8977,20,Bragantino,8,1,59,402,93,16,4,0,1,4
8979,20,Sao Paulo,14,7,67,454,90,17,1,0,1,10
8979,20,Sport,7,4,33,189,80,13,4,0,0,4
8978,20,Juventude,7,5,50,344,91,14,3,1,2,6
8978,20,Vitoria,17,4,50,332,93,8,1,1,1,4
8980,20,Bahia,6,5,34,199,85,19,4,0,1,1
8980,20,Corinthians,19,7,66,481,91,14,2,0,6,9
8981,20,Gremio,8,4,37,263,85,7,2,2,0,4
8981,20,Atletico-MG,8,3,63,401,93,16,2,2,1,4
8982,20,Vasco,13,8,59,470,93,11,4,0,2,3
8982,20,Santos,6,2,41,286,89,10,2,0,4,3
8983,20,Flamengo,15,3,58,535,93,6,0,0,3,5
8983,20,Internacional,14,6,42,366,90,11,2,0,1,10
8984,20,Botafogo-RJ,14,6,58,554,94,6,1,0,2,4
8984,20,Palmeiras,8,2,42,370,92,6,2,0,3,3
8985,20,Mirassol,20,5,51,300,84,16,3,0,2,7
8985,20,Cruzeiro,9,3,49,316,85,12,4,0,2,2
8923,14,Juventude,6,3,29,222,87,6,2,0,2,1
8923,14,Vasco,6,0,71,828,95,9,1,0,0,5
